course_id	lesson_id	step_id	order	original_text	problem_type	recommended_action	atomic_replacements	notes_replacement	owner	shared_phrase_ids	qa_status
course_l_7	course_l_7_l6	course_l_7_l6_o4	4	Лежак и кокос	noun_list	keep_as_one_target	«Лежак» / «кокос»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_l_7	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_7	course_l_7_l7	course_l_7_l7_o6	6	Когда отплытие?	short_question	keep_or_review	«Когда отплытие?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_7	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_7	course_l_7_l7	course_l_7_l7_o7	7	Маска и ласты	noun_list	keep_as_one_target	«Маска» / «ласты»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_l_7	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_10	course_l_10_l2	course_l_10_l2_o4	4	Когда занятия?	short_question	keep_or_review	«Когда занятия?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_10	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_10	course_l_10_l7	course_l_10_l7_o11	11	Можно перенести на завтра?	long_question	shorten_question	«Можно перенести на завтра?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Оставить один вопрос и один объект; дополнительные уточнения вынести в следующую карточку.	course_l_10	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_11	course_l_11_l3	course_l_11_l3_o9	9	Когда фестиваль?	short_question	keep_or_review	«Когда фестиваль?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_11	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_12	course_l_12_l6	course_l_12_l6_o6	6	Когда вам удобно?	short_question	keep_or_review	«Когда вам удобно?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_12	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_12	course_l_12_l6	course_l_12_l6_o10	10	Можно оплатить картой?	short_question	keep_or_review	«Можно оплатить картой?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_12	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_12	course_l_12_l6	course_l_12_l6_o11	11	Я не так имел в виду	compound_action	split_into_atomic_cards	«Я не так имел в виду» — упростить после native QA	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_l_12	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_13	course_l_13_l1	course_l_13_l1_o8	8	Когда почините?	short_question	keep_or_review	«Когда почините?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_13	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_13	course_l_13_l3	course_l_13_l3_o8	8	Когда почините?	short_question	keep_or_review	«Когда почините?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_13	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_13	course_l_13_l4	course_l_13_l4_o6	6	Сообщите, когда приедете	compound_action	split_into_atomic_cards	«Сообщите» / «когда приедете»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_l_13	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_13	course_l_13_l6	course_l_13_l6_o5	5	Напишите когда будете	review	review_for_naturalness	«Напишите» / «будете»	Автофлаг недостаточен; проверить у методиста.	course_l_13	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_13	course_l_13_l7	course_l_13_l7_o4	4	Когда закончите ремонт?	short_question	keep_or_review	«Когда закончите ремонт?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_13	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_14	course_l_14_l1	course_l_14_l1_o8	8	Когда привезёт?	short_question	keep_or_review	«Когда привезёт?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_l_14	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_l_15	course_l_15_l6	course_l_15_l6_o9	9	Спасибо, но я откажусь	compound_action	split_into_atomic_cards	«Спасибо» / «но я откажусь»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_l_15	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_1	course_e_1_l2	course_e_1_l2_o5	5	Давайте в своём темпе	review	review_for_naturalness	«Давайте в своём темпе» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_1	course_e_1_l3	course_e_1_l3_o5	5	Чтобы не давить	review	review_for_naturalness	«Чтобы не давить» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_1	course_e_1_l6	course_e_1_l6_o5	5	Скажу мягко и понятно	noun_list	keep_as_one_target	«Скажу мягко» / «понятно»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_e_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_1	course_e_1_l6	course_e_1_l6_o6	6	Давайте обсудим	review	review_for_naturalness	«Давайте обсудим» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_2	course_e_2_l1	course_e_2_l1_o3	3	Когда сможете?	short_question	keep_or_review	«Когда сможете?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_e_2	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_2	course_e_2_l6	course_e_2_l6_o4	4	Если ещё не готово	review	review_for_naturalness	«Если ещё не готово» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_2	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_3	course_e_3_l1	course_e_3_l1_o5	5	Можно починить?	short_question	keep_or_review	«Можно починить?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_e_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_3	course_e_3_l3	course_e_3_l3_o2	2	Когда будет готово?	short_question	keep_or_review	«Когда будет готово?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_e_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_3	course_e_3_l4	course_e_3_l4_o3	3	Когда придёте?	short_question	keep_or_review	«Когда придёте?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_e_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_4	course_e_4_l1	course_e_4_l1_o3	3	Давайте без обид	review	review_for_naturalness	«Давайте без обид» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_4	course_e_4_l2	course_e_4_l2_o3	3	Давайте уточним	review	review_for_naturalness	«Давайте уточним» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_4	course_e_4_l3	course_e_4_l3_o6	6	Давайте вместе решим	review	review_for_naturalness	«Давайте вместе решим» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_4	course_e_4_l4	course_e_4_l4_o5	5	Когда мягче	review	review_for_naturalness	«Когда мягче» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_4	course_e_4_l5	course_e_4_l5_o6	6	Давайте оставим это и пойдём дальше	compound_action	split_into_atomic_cards	«Давайте оставим это» / «пойдём дальше»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_e_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_5	course_e_5_l3	course_e_5_l3_o4	4	Когда что сказать	review	review_for_naturalness	«Когда что сказать» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_5	course_e_5_l5	course_e_5_l5_o6	6	Улыбка сама по себе не означает «да»	compound_action	split_into_atomic_cards	«Улыбка сама по себе не означает «да»» — упростить после native QA	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_e_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_5	course_e_5_l6	course_e_5_l6_o6	6	Ответить мягко и ясно	noun_list	keep_as_one_target	«Ответить мягко» / «ясно»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_e_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_6	course_e_6_l1	course_e_6_l1_o5	5	Чтобы смягчить	review	review_for_naturalness	«Чтобы смягчить» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_e_6	course_e_6_l3	course_e_6_l3_o6	6	Когда добавить	review	review_for_naturalness	«Когда добавить» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_e_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_1	course_s_1_l6	course_s_1_l6_o7	7	Пост и комменты	noun_list	keep_as_one_target	«Пост» / «комменты»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_2	course_s_2_l6	course_s_2_l6_o4	4	Записаться и обсудить	compound_action	split_into_atomic_cards	«Записаться» / «обсудить»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_s_2	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_3	course_s_3_l1	course_s_3_l1_o4	4	Серьёзно? Реально?	short_question	keep_or_review	«Серьёзно? Реально?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_s_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_3	course_s_3_l3	course_s_3_l3_o7	7	Джай-рай и чувства	noun_list	keep_as_one_target	«Джай-рай» / «чувства»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_3	course_s_3_l5	course_s_3_l5_o6	6	Идиомы и сленг	noun_list	keep_as_one_target	«Идиомы» / «сленг»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_4	course_s_4_l2	course_s_4_l2_o4	4	Когда медитация	review	review_for_naturalness	«Когда медитация» — упростить после native QA	Автофлаг недостаточен; проверить у методиста.	course_s_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_5	course_s_5_l1	course_s_5_l1_o6	6	Мило и флирт	noun_list	keep_as_one_target	«Мило» / «флирт»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_5	course_s_5_l2	course_s_5_l2_o3	3	Забота и интерес	noun_list	keep_as_one_target	«Забота» / «интерес»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_5	course_s_5_l3	course_s_5_l3_o5	5	Намёки и интерес	noun_list	keep_as_one_target	«Намёки» / «интерес»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_5	course_s_5_l6	course_s_5_l6_o6	6	Забота и границы	noun_list	keep_as_one_target	«Забота» / «границы»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_s_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_6	course_s_6_l5	course_s_6_l5_o4	4	Игры и еда с детьми	compound_action	split_into_atomic_cards	«Игры» / «еда с детьми»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_s_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_s_6	course_s_6_l5	course_s_6_l5_o6	6	На пляже и в кафе	compound_action	split_into_atomic_cards	«На пляже» / «в кафе»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_s_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_1	course_long_1_l4	course_long_1_l4_o5	5	Донести и вернуться	compound_action	split_into_atomic_cards	«Донести» / «вернуться»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_long_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_1	course_long_1_l5	course_long_1_l5_o5	5	Наличные или карта	choice_list	keep_or_split_if_choice_is_not_clear	Короткий выбор: «Наличные или карта» — оставить одной карточкой; при необходимости разделить на названия вариантов.	Короткий выбор; не считать сложносочинённой автоматически.	course_long_1	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_2	course_long_2_l1	course_long_2_l1_o6	6	Виза и документы	noun_list	keep_as_one_target	«Виза» / «документы»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_long_2	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_2	course_long_2_l1	course_long_2_l1_o7	7	Рабочая виза или пенсионная	choice_list	keep_or_split_if_choice_is_not_clear	Короткий выбор: «Рабочая виза или пенсионная» — оставить одной карточкой; при необходимости разделить на названия вариантов.	Короткий выбор; не считать сложносочинённой автоматически.	course_long_2	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_2	course_long_2_l4	course_long_2_l4_o3	3	Когда зачислится?	short_question	keep_or_review	«Когда зачислится?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_long_2	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_3	course_long_3_l2	course_long_3_l2_o5	5	Результаты когда?	short_question	keep_or_review	«Результаты когда?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_long_3	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_4	course_long_4_l4	course_long_4_l4_o3	3	Угон и ДТП	noun_list	keep_as_one_target	«Угон» / «ДТП»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_long_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_4	course_long_4_l6	course_long_4_l6_o7	7	Ключи и документы на байк	compound_action	split_into_atomic_cards	«Ключи» / «документы на байк»	Каждая карточка должна содержать одно действие; контекст/причину вынести в tip или notes.	course_long_4	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_5	course_long_5_l5	course_long_5_l5_o4	4	Когда собрание?	short_question	keep_or_review	«Когда собрание?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_long_5	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_6	course_long_6_l2	course_long_6_l2_o4	4	Следующая прививка когда?	short_question	keep_or_review	«Следующая прививка когда?» — оставить как одну карточку; при необходимости уточнение сделать отдельным step	Короткий вопрос; не считать перегруженным автоматически, проверить naturalness.	course_long_6	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
course_long_7	course_long_7_l3	course_long_7_l3_o4	4	Дорамы и сериалы	noun_list	keep_as_one_target	«Дорамы» / «сериалы»	Естественный список объектов; split только если нужна отдельная тренировка каждого объекта.	course_long_7	TBD after canonical phrase pass	draft — Russian intent; Thai/native QA required
