normalized_phrase	phrase	course	lesson
спасибо	спасибо	course_l_2	Завершить
до свидания	до свидания	course_l_2	Завершить
сколько?	сколько?	course_l_3	Цена
дорого	дорого	course_l_3	Цена
цена другая?	цена другая?	course_l_3	Цена
дешевле можно?	дешевле можно?	course_l_3	Цена
хорошо	хорошо	course_l_3	Цена
один	один	course_l_3	Количество
два	два	course_l_3	Количество
ещё один	ещё один	course_l_3	Количество
достаточно	достаточно	course_l_3	Количество
больше не надо	больше не надо	course_l_3	Количество
скидка есть?	скидка есть?	course_l_3	Торг
чуть дешевле?	чуть дешевле?	course_l_3	Торг
последняя цена?	последняя цена?	course_l_3	Торг
хорошо	хорошо	course_l_3	Торг
беру	беру	course_l_3	Торг
взвесить можно?	взвесить можно?	course_l_3	Взвесить/упаковать
упакуйте	упакуйте	course_l_3	Взвесить/упаковать
отдельно	отдельно	course_l_3	Взвесить/упаковать
вместе	вместе	course_l_3	Взвесить/упаковать
пакет	пакет	course_l_3	Взвесить/упаковать
наличные	наличные	course_l_3	Оплата
карта можно?	карта можно?	course_l_3	Оплата
сдача	сдача	course_l_3	Оплата
чек	чек	course_l_3	Оплата
спасибо	спасибо	course_l_3	Оплата
всё	всё	course_l_3	Завершить
беру	беру	course_l_3	Завершить
не надо	не надо	course_l_3	Завершить
спасибо	спасибо	course_l_3	Завершить
до свидания	до свидания	course_l_3	Завершить
это что?	это что?	course_l_4	Выбрать
это остро?	это остро?	course_l_4	Выбрать
не остро	не остро	course_l_4	Выбрать
это можно?	это можно?	course_l_4	Выбрать
беру это	беру это	course_l_4	Выбрать
это, пожалуйста	это, пожалуйста	course_l_4	Заказать
ещё одно	ещё одно	course_l_4	Заказать
без этого	без этого	course_l_4	Заказать
добавить это	добавить это	course_l_4	Заказать
достаточно	достаточно	course_l_4	Заказать
аллергия	аллергия	course_l_4	Ограничения
без арахиса	без арахиса	course_l_4	Ограничения
без молока	без молока	course_l_4	Ограничения
нельзя остро	нельзя остро	course_l_4	Ограничения
проверить можно?	проверить можно?	course_l_4	Ограничения
один	один	course_l_4	Количество
два	два	course_l_4	Количество
мало	мало	course_l_4	Количество
ещё	ещё	course_l_4	Количество
хватит	хватит	course_l_4	Количество
вода	вода	course_l_4	Напитки
лёд	лёд	course_l_4	Напитки
без льда	без льда	course_l_4	Напитки
сладко	сладко	course_l_4	Напитки
не сладко	не сладко	course_l_4	Напитки
счёт, пожалуйста	счёт, пожалуйста	course_l_4	Оплата
карта можно?	карта можно?	course_l_4	Оплата
сколько?	сколько?	course_l_4	Оплата
чек	чек	course_l_4	Оплата
спасибо	спасибо	course_l_4	Оплата
мне плохо	мне плохо	course_l_5	В аптеке
болит	болит	course_l_5	В аптеке
где лекарство?	где лекарство?	course_l_5	В аптеке
это поможет?	это поможет?	course_l_5	В аптеке
сколько стоит?	сколько стоит?	course_l_5	В аптеке
голова болит	голова болит	course_l_5	Симптомы
горло болит	горло болит	course_l_5	Симптомы
температура	температура	course_l_5	Симптомы
кашель	кашель	course_l_5	Симптомы
аллергия	аллергия	course_l_5	Симптомы
сколько принимать?	сколько принимать?	course_l_5	Дозировка
утром	утром	course_l_5	Дозировка
вечером	вечером	course_l_5	Дозировка
сколько раз?	сколько раз?	course_l_5	Дозировка
после еды?	после еды?	course_l_5	Дозировка
аллергия на антибиотики	аллергия на антибиотики	course_l_5	Антибиотики
есть другое?	есть другое?	course_l_5	Антибиотики
это подходит?	это подходит?	course_l_5	Антибиотики
инструкция	инструкция	course_l_5	Антибиотики
спасибо	спасибо	course_l_5	Антибиотики
врач где?	врач где?	course_l_5	В клинике
записаться можно?	записаться можно?	course_l_5	В клинике
паспорт вот	паспорт вот	course_l_5	В клинике
где болит?	где болит?	course_l_5	В клинике
покажу	покажу	course_l_5	В клинике
лучше	лучше	course_l_5	Продолжение
не лучше	не лучше	course_l_5	Продолжение
снова болит	снова болит	course_l_5	Продолжение
нужно ещё?	нужно ещё?	course_l_5	Продолжение
спасибо	спасибо	course_l_5	Продолжение
срочно	срочно	course_l_5	Safety
очень больно	очень больно	course_l_5	Safety
дышать трудно	дышать трудно	course_l_5	Safety
помощь	помощь	course_l_5	Safety
скорая	скорая	course_l_5	Safety
short cards	Short cards	course_l_6	Lesson focus
бронь есть	бронь есть	course_l_6	Check-in
паспорт вот	паспорт вот	course_l_6	Check-in
ключ где	ключ где	course_l_6	Check-in
номер готов	номер готов	course_l_6	Check-in
спасибо	спасибо	course_l_6	Check-in
где номер	где номер	course_l_6	Номер
это мой номер	это мой номер	course_l_6	Номер
можно другой	можно другой	course_l_6	Номер
здесь проблема	здесь проблема	course_l_6	Номер
всё хорошо	всё хорошо	course_l_6	Номер
уборка сегодня	уборка сегодня	course_l_6	Уборка и удобства
полотенце нужно	полотенце нужно	course_l_6	Уборка и удобства
воды нет	воды нет	course_l_6	Уборка и удобства
кондиционер не работает	кондиционер не работает	course_l_6	Уборка и удобства
можно помочь?	можно помочь?	course_l_6	Уборка и удобства
сломалось	сломалось	course_l_6	Ремонт
не работает	не работает	course_l_6	Ремонт
когда починят	когда починят	course_l_6	Ремонт
сегодня можно	сегодня можно	course_l_6	Ремонт
позвоните мне	позвоните мне	course_l_6	Ремонт
сейчас можно	сейчас можно	course_l_6	Время
позже можно	позже можно	course_l_6	Время
завтра можно	завтра можно	course_l_6	Время
во сколько?	во сколько?	course_l_6	Время
хорошо	хорошо	course_l_6	Время
выезд сегодня	выезд сегодня	course_l_6	Checkout
счёт, пожалуйста	счёт, пожалуйста	course_l_6	Checkout
багаж оставить можно	багаж оставить можно	course_l_6	Checkout
всё готово	всё готово	course_l_6	Checkout
спасибо	спасибо	course_l_6	Checkout
short cards	Short cards	course_l_7	Lesson focus
здесь можно	здесь можно	course_l_7	Место
тут свободно	тут свободно	course_l_7	Место
где место	где место	course_l_7	Место
в тень можно	в тень можно	course_l_7	Место
спасибо	спасибо	course_l_7	Место
слишком жарко	слишком жарко	course_l_7	Солнце и вода
есть тень	есть тень	course_l_7	Солнце и вода
можно воду	можно воду	course_l_7	Солнце и вода
ещё воды	ещё воды	course_l_7	Солнце и вода
всё хорошо	всё хорошо	course_l_7	Солнце и вода
можно плавать	можно плавать	course_l_7	Море и безопасность
глубоко?	глубоко?	course_l_7	Море и безопасность
осторожно	осторожно	course_l_7	Море и безопасность
подождать	подождать	course_l_7	Море и безопасность
я готов	я готов	course_l_7	Море и безопасность
когда отплытие	когда отплытие	course_l_7	Лодка и время
во сколько?	во сколько?	course_l_7	Лодка и время
куда плывём	куда плывём	course_l_7	Лодка и время
подождите	подождите	course_l_7	Лодка и время
готово	готово	course_l_7	Лодка и время
можно ещё?	можно ещё?	course_l_7	Простые просьбы
достаточно	достаточно	course_l_7	Простые просьбы
не надо	не надо	course_l_7	Простые просьбы
сюда	сюда	course_l_7	Простые просьбы
туда	туда	course_l_7	Простые просьбы
маска есть	маска есть	course_l_7	Снаряжение
ласты есть	ласты есть	course_l_7	Снаряжение
размер какой?	размер какой?	course_l_7	Снаряжение
можно взять?	можно взять?	course_l_7	Снаряжение
верну	верну	course_l_7	Снаряжение
всё	всё	course_l_7	Завершение
спасибо	спасибо	course_l_7	Завершение
было красиво	было красиво	course_l_7	Завершение
до встречи	до встречи	course_l_7	Завершение
я пойду	я пойду	course_l_7	Завершение
где это?	где это?	course_l_8	Найти товар
есть такой?	есть такой?	course_l_8	Найти товар
другой размер	другой размер	course_l_8	Найти товар
другой цвет	другой цвет	course_l_8	Найти товар
покажите	покажите	course_l_8	Найти товар
сколько?	сколько?	course_l_8	Цена
дорого	дорого	course_l_8	Цена
цена какая?	цена какая?	course_l_8	Цена
акция?	акция?	course_l_8	Цена
скидка есть?	скидка есть?	course_l_8	Цена
пакет	пакет	course_l_8	Пакет
маленький пакет	маленький пакет	course_l_8	Пакет
без пакета	без пакета	course_l_8	Пакет
экопакет	экопакет	course_l_8	Пакет
спасибо	спасибо	course_l_8	Пакет
карта можно?	карта можно?	course_l_8	Оплата
наличные	наличные	course_l_8	Оплата
сколько с меня?	сколько с меня?	course_l_8	Оплата
чек	чек	course_l_8	Оплата
всё	всё	course_l_8	Оплата
сегодня скидка?	сегодня скидка?	course_l_8	Акция
где акция?	где акция?	course_l_8	Акция
два по цене одного	два по цене одного	course_l_8	Акция
хорошо	хорошо	course_l_8	Акция
беру	беру	course_l_8	Акция
обменять можно?	обменять можно?	course_l_8	Обмен
размер не подходит	размер не подходит	course_l_8	Обмен
чек вот	чек вот	course_l_8	Обмен
другой размер	другой размер	course_l_8	Обмен
спасибо	спасибо	course_l_8	Обмен
помощь	помощь	course_l_9	Срочно
срочно	срочно	course_l_9	Срочно
опасно	опасно	course_l_9	Срочно
остановитесь	остановитесь	course_l_9	Срочно
подождите	подождите	course_l_9	Срочно
скорая	скорая	course_l_9	Медицинская помощь
больница	больница	course_l_9	Медицинская помощь
врач	врач	course_l_9	Медицинская помощь
больно	больно	course_l_9	Медицинская помощь
дышать трудно	дышать трудно	course_l_9	Медицинская помощь
полиция	полиция	course_l_9	Полиция
авария	авария	course_l_9	Полиция
нужна помощь	нужна помощь	course_l_9	Полиция
документы вот	документы вот	course_l_9	Полиция
подождите	подождите	course_l_9	Полиция
я здесь	я здесь	course_l_9	Место
вот адрес	вот адрес	course_l_9	Место
где мы?	где мы?	course_l_9	Место
вход здесь	вход здесь	course_l_9	Место
позвоните мне	позвоните мне	course_l_9	Место
не понимаю	не понимаю	course_l_9	Связь
повторите	повторите	course_l_9	Связь
медленнее	медленнее	course_l_9	Связь
переводчик нужен	переводчик нужен	course_l_9	Связь
ещё раз	ещё раз	course_l_9	Связь
помощь едет?	помощь едет?	course_l_9	Завершить
спасибо	спасибо	course_l_9	Завершить
я жду	я жду	course_l_9	Завершить
здесь	здесь	course_l_9	Завершить
хорошо	хорошо	course_l_9	Завершить
онлайн	онлайн	course_long_1	Начать
лично	лично	course_long_1	Начать
документы	документы	course_long_1	Начать
форма	форма	course_long_1	Начать
паспорт вот	паспорт вот	course_long_1	Начать
что нужно?	что нужно?	course_long_1	Документы
фото нужно?	фото нужно?	course_long_1	Документы
справка нужна?	справка нужна?	course_long_1	Документы
срок какой?	срок какой?	course_long_1	Документы
очередь где?	очередь где?	course_long_1	Документы
фото на документы	фото на документы	course_long_1	Фото
фото здесь?	фото здесь?	course_long_1	Фото
фотобудка где?	фотобудка где?	course_long_1	Фото
паспорт вот	паспорт вот	course_long_1	Фото
готово	готово	course_long_1	Фото
что не так?	что не так?	course_long_1	Ошибка
не хватает документов	не хватает документов	course_long_1	Ошибка
донести документы?	донести документы?	course_long_1	Ошибка
перевод нужен?	перевод нужен?	course_long_1	Ошибка
квитанция	квитанция	course_long_1	Оплата
окно оплаты	окно оплаты	course_long_1	Оплата
наличные или карта?	наличные или карта?	course_long_1	Оплата
онлайн можно?	онлайн можно?	course_long_1	Оплата
чек	чек	course_long_1	Оплата
окно номер	окно номер	course_long_1	Финал
офицер где?	офицер где?	course_long_1	Финал
печать в паспорт	печать в паспорт	course_long_1	Финал
готово?	готово?	course_long_1	Финал
следующая проверка когда?	следующая проверка когда?	course_long_1	Финал
паспорт	паспорт	course_long_2	Банк
документы	документы	course_long_2	Банк
что нужно?	что нужно?	course_long_2	Банк
открыть счёт	открыть счёт	course_long_2	Банк
карта нужна	карта нужна	course_long_2	Банк
перевод	перевод	course_long_2	Перевод
привязать карту	привязать карту	course_long_2	Перевод
qr-код	QR-код	course_long_2	Перевод
приложение банка	приложение банка	course_long_2	Перевод
без наличных	без наличных	course_long_2	Перевод
курс какой?	курс какой?	course_long_2	Курс/комиссия
комиссия сколько?	комиссия сколько?	course_long_2	Курс/комиссия
где поменять?	где поменять?	course_long_2	Курс/комиссия
кошелёк	кошелёк	course_long_2	Курс/комиссия
хорошо	хорошо	course_long_2	Курс/комиссия
перевод не пришёл	перевод не пришёл	course_long_2	Ошибка
когда зачислится?	когда зачислится?	course_long_2	Ошибка
реквизиты верные?	реквизиты верные?	course_long_2	Ошибка
ошибка	ошибка	course_long_2	Ошибка
проверить перевод	проверить перевод	course_long_2	Ошибка
поддержка	поддержка	course_long_2	Карта
идентификация	идентификация	course_long_2	Карта
карту заблокировать	карту заблокировать	course_long_2	Карта
новую карту	новую карту	course_long_2	Карта
позвонить в банк	позвонить в банк	course_long_2	Карта
код из sms	код из SMS	course_long_2	Лимиты
подтвердить в приложении	подтвердить в приложении	course_long_2	Лимиты
лимит какой?	лимит какой?	course_long_2	Лимиты
комиссия	комиссия	course_long_2	Лимиты
выписка	выписка	course_long_2	Лимиты
температура	температура	course_long_3	Симптомы
тошнит	тошнит	course_long_3	Симптомы
кружится голова	кружится голова	course_long_3	Симптомы
слабость	слабость	course_long_3	Симптомы
болит с утра	болит с утра	course_long_3	Симптомы
направление	направление	course_long_3	Анализы
анализы где?	анализы где?	course_long_3	Анализы
когда результат?	когда результат?	course_long_3	Анализы
результат готов?	результат готов?	course_long_3	Анализы
спасибо	спасибо	course_long_3	Анализы
аллергия	аллергия	course_long_3	Лекарства
другое лекарство можно?	другое лекарство можно?	course_long_3	Лекарства
реакция	реакция	course_long_3	Лекарства
хроническая болезнь	хроническая болезнь	course_long_3	Лекарства
лекарства вот	лекарства вот	course_long_3	Лекарства
номер полиса	номер полиса	course_long_3	Страховка
страховка платит?	страховка платит?	course_long_3	Страховка
лимит какой?	лимит какой?	course_long_3	Страховка
копия заключения	копия заключения	course_long_3	Страховка
позвонить в страховую	позвонить в страховую	course_long_3	Страховка
срочно	срочно	course_long_3	Помощь
экстренная помощь	экстренная помощь	course_long_3	Помощь
больница где?	больница где?	course_long_3	Помощь
переводчик нужен	переводчик нужен	course_long_3	Помощь
номер линии	номер линии	course_long_3	Помощь
выписка	выписка	course_long_3	Выписка
повторный приём	повторный приём	course_long_3	Выписка
больничный	больничный	course_long_3	Выписка
копия документов	копия документов	course_long_3	Выписка
спасибо	спасибо	course_long_3	Выписка
до … сколько?	до … сколько?	course_long_4	Мототакси
сюда	сюда	course_long_4	Мототакси
подождите	подождите	course_long_4	Мототакси
едем	едем	course_long_4	Мототакси
спасибо	спасибо	course_long_4	Мототакси
залог	залог	course_long_4	Аренда
документы	документы	course_long_4	Аренда
права	права	course_long_4	Аренда
на сколько дней?	на сколько дней?	course_long_4	Аренда
