course_id	lesson_id	source_step_id	parent_source_step_id	action	kind	order	ru	thai	phonetic	tip	scenario	lifehack_or_glitch	qa_status
course_l_6	course_l_6_l4	course_l_6_l4_o9__part_2	course_l_6_l4_o9	add	phrase	10	готово	พร้อมแล้ว	phromlaeo	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_6	course_l_6_l7	course_l_6_l7_o6	course_l_6_l7_o6	replace	phrase	6	Когда можно забрать?	มารับได้เมื่อไหร่ครับ	maa ráp dâi mûea-rài khráp	Спроси, когда можно забрать отремонтированную вещь.			native_review_required
course_l_6	course_l_6_l7	course_l_6_l7_o11	course_l_6_l7_o11	replace	phrase	11	Позвоните, когда закончите.	เสร็จแล้วโทรบอกผมด้วยครับ	sèt láeo thoo bòk phǒm dûai khráp	Попроси позвонить после ремонта.			native_review_required
course_l_6	course_l_6_l7	course_l_6_l7_o11__part_2	course_l_6_l7_o11	add	phrase	12	Перезвоните после ремонта.	ซ่อมเสร็จแล้วโทรกลับด้วยครับ	sɔ̂m sèt láeo thoo glàp dûai khráp	Попроси перезвонить после окончания ремонта.			native_review_required
course_l_7	course_l_7_l4	course_l_7_l4_o8	course_l_7_l4_o8	replace	phrase	8	Когда едем?	เราไปเมื่อไหร่ครับ	raopaimuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_7	course_l_7_l6	course_l_7_l6_o4	course_l_7_l6_o4	replace	phrase	4	Лежак	เก้าอี้ชายหาด	kaoichaihat	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_7	course_l_7_l6	course_l_7_l6_o4__part_2	course_l_7_l6_o4	add	phrase	12	Кокос	มะพร้าว	maprao	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_7	course_l_7_l7	course_l_7_l7_o6	course_l_7_l7_o6	replace	phrase	6	Когда отплытие?	เรือออกเมื่อไหร่ครับ	rueaokmuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_7	course_l_7_l7	course_l_7_l7_o7	course_l_7_l7_o7	replace	phrase	7	Маска	หน้ากากดำน้ำ	nakakdamnam	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_7	course_l_7_l7	course_l_7_l7_o7__part_2	course_l_7_l7_o7	add	phrase	11	Ласты	ตีนกบ	tinkp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_11	course_l_11_l3	course_l_11_l3_o9	course_l_11_l3_o9	replace	phrase	9	Когда начинается фестиваль?	เทศกาลเริ่มกี่โมงครับ	thêet-sà-gaan rə̂əm gìi moong khráp	Спроси время начала фестиваля.			native_review_required
course_l_12	course_l_12_l6	course_l_12_l6_o6	course_l_12_l6_o6	replace	phrase	6	Когда вам удобно?	คุณสะดวกเมื่อไหร่ครับ	khunsaduakmuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_12	course_l_12_l6	course_l_12_l6_o10	course_l_12_l6_o10	replace	phrase	10	Можно оплатить картой?	จ่ายด้วยบัตรได้ไหมครับ	chaiduaibatndaimaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_12	course_l_12_l6	course_l_12_l6_o11	course_l_12_l6_o11	replace	phrase	11	Я не так имел в виду	ผมไม่ได้หมายความแบบนั้นครับ	phom chanmaidaimaikwambaepnankhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_13	course_l_13_l1	course_l_13_l1_o8	course_l_13_l1_o8	replace	phrase	8	Когда вы сможете починить?	จะซ่อมได้เมื่อไหร่ครับ	jà sɔ̂m dâi mûea-rài khráp	Спроси, когда мастер сможет начать ремонт.			native_review_required
course_l_13	course_l_13_l3	course_l_13_l3_o8	course_l_13_l3_o8	replace	phrase	8	Когда вы закончите ремонт?	จะซ่อมเสร็จเมื่อไหร่ครับ	jà sɔ̂m sèt mûea-rài khráp	Спроси срок окончания ремонта.			native_review_required
course_l_13	course_l_13_l4	course_l_13_l4_o6	course_l_13_l4_o6	replace	phrase	6	Сообщите	แจ้งผมด้วย	chaengaphom chanduai	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_13	course_l_13_l4	course_l_13_l4_o6__part_2	course_l_13_l4_o6	add	phrase	10	Когда курьер приедет?	ไรเดอร์จะมาถึงเมื่อไหร่ครับ	rai-dəə jà maa-thʉ̌ng mûea-rài khráp	Спроси время прибытия курьера.			native_review_required
course_l_13	course_l_13_l6	course_l_13_l6_o5	course_l_13_l6_o5	replace	phrase	5	Напишите мне	เขียนมาบอกผมด้วย	khianmabokphom chanduai	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_13	course_l_13_l6	course_l_13_l6_o5__part_2	course_l_13_l6_o5	add	phrase	11	Когда будете?	จะมาเมื่อไหร่ครับ	chamamuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_13	course_l_13_l7	course_l_13_l7_o4	course_l_13_l7_o4	replace	phrase	4	Когда закончите ремонт?	จะซ่อมเสร็จเมื่อไหร่ครับ	chasomsertmuearaikhrap	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_14	course_l_14_l1	course_l_14_l1_o8	course_l_14_l1_o8	replace	phrase	8	Когда привезёт?	จะมาส่งเมื่อไหร่ครับ	chamasongmuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_15	course_l_15_l6	course_l_15_l6_o9	course_l_15_l6_o9	replace	phrase	9	Спасибо за помощь.	ขอบคุณที่ช่วยนะครับ	khɔ̀ɔp-khun thîi chûai ná khráp	Поблагодари сотрудника за помощь.			native_review_required
course_l_15	course_l_15_l6	course_l_15_l6_o9__part_2	course_l_15_l6_o9	add	phrase	12	Я откажусь от покупки.	ผมไม่รับสินค้าครับ	phǒm mâi ráp sǐn-kháa khráp	Вежливо откажись от товара на кассе.			native_review_required
course_e_1	course_e_1_l2	course_e_1_l2_o5	course_e_1_l2_o5	replace	phrase	5	Давайте в своём темпе	ค่อยๆทำก็ได้ครับ	khoithamkdaikhrap	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_1	course_e_1_l3	course_e_1_l3_o5	course_e_1_l3_o5	replace	phrase	5	Чтобы не давить	ไม่ต้องกดดันครับ	mataingkadadankhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_1	course_e_1_l6	course_e_1_l6_o5	course_e_1_l6_o5	replace	phrase	5	Скажу мягче.	ผมจะพูดให้นุ่มนวลขึ้นครับ	phǒm jà phûut hâi nûm-nuan khʉ̂n khráp	Пообещай выразиться мягче.			native_review_required
course_e_1	course_e_1_l6	course_e_1_l6_o5__part_2	course_e_1_l6_o5	add	phrase	9	Объясню понятнее.	ผมจะอธิบายให้ชัดเจนขึ้นครับ	phǒm jà à-thí-baai hâi chát-jen khʉ̂n khráp	Пообещай объяснить понятнее.			native_review_required
course_e_1	course_e_1_l6	course_e_1_l6_o6	course_e_1_l6_o6	replace	phrase	6	Давайте это обсудим.	มาคุยเรื่องนี้กันครับ	maa khui rʉ̂ang níi gan khráp	Предложи спокойно обсудить конкретную тему.			native_review_required
course_e_2	course_e_2_l1	course_e_2_l1_o3	course_e_2_l1_o3	replace	phrase	3	Когда сможете?	คุณจะทำได้เมื่อไหร่ครับ	khunchathamdaimuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_2	course_e_2_l6	course_e_2_l6_o4	course_e_2_l6_o4	replace	phrase	4	Ещё не готово?	ยังไม่เสร็จเหรอครับ	yangmaiserterokhrap	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_4	course_e_4_l1	course_e_4_l1_o3	course_e_4_l1_o3	replace	phrase	3	Без обид, хорошо?	อย่าโกรธกันนะครับ	yàa gròot gan ná khráp	Смягчи несогласие перед важным замечанием.			native_review_required
course_e_4	course_e_4_l2	course_e_4_l2_o3	course_e_4_l2_o3	replace	phrase	3	Уточним?	ขอสอบถามให้ชัดเจนหน่อยได้ไหมครับ	khosopthamhaichatchennoidaimaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_4	course_e_4_l3	course_e_4_l3_o6	course_e_4_l3_o6	replace	phrase	6	Решим вместе?	มาแก้ด้วยกันไหมครับ	makaeduaikanmaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_4	course_e_4_l4	course_e_4_l4_o5	course_e_4_l4_o5	replace	phrase	5	Скажи помягче, пожалуйста.	ช่วยพูดเบาๆหน่อยครับ	chûai phûut bao-bao nòi khráp	Попроси сделать тон мягче.			native_review_required
course_e_4	course_e_4_l5	course_e_4_l5_o6	course_e_4_l5_o6	replace	phrase	6	Давайте оставим это	พักเรื่องนี้ไว้ก่อน	phakrueangniwaikon	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_4	course_e_4_l5	course_e_4_l5_o6__part_2	course_e_4_l5_o6	add	phrase	10	пойдём дальше	ไปต่อกันครับ	paitokankhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_5	course_e_5_l3	course_e_5_l3_o4	course_e_5_l3_o4	replace	phrase	4	Когда что сказать	ควรพูดตอนไหนครับ	khuanphuttonnaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_5	course_e_5_l5	course_e_5_l5_o6	course_e_5_l5_o6	replace	phrase	6	Улыбка — не «да	ยิ้มไม่ได้แปลว่าใช่	yimmaidaipaenwachai	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_5	course_e_5_l5	course_e_5_l5_o6__part_2	course_e_5_l5_o6	add	phrase	9	Спроси прямо	ถามตรงๆครับ	thamtrongkhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_5	course_e_5_l6	course_e_5_l6_o6	course_e_5_l6_o6	replace	phrase	6	Ответить мягко	ตอบอย่างนุ่มนวล	topyangnumnuan	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_e_5	course_e_5_l6	course_e_5_l6_o6__part_2	course_e_5_l6_o6	add	phrase	9	Объясни яснее, пожалуйста.	ช่วยอธิบายให้ชัดเจนหน่อยครับ	chûai à-thí-baai hâi chát-jen nòi khráp	Попроси объяснить понятнее.			native_review_required
course_s_1	course_s_1_l6	course_s_1_l6_o7	course_s_1_l6_o7	replace	phrase	7	Опубликуй пост.	โพสต์ข้อความเลยครับ	phóot khɔ̂ɔ-khwaam loei khráp	Попроси опубликовать подготовленный пост.			native_review_required
course_s_1	course_s_1_l6	course_s_1_l6_o7__part_2	course_s_1_l6_o7	add	phrase	9	Оставь комментарий	แสดงความคิดเห็นด้วยครับ	sà-dɛɛng khwaam-khít-hěn dûai khráp	Попроси оставить комментарий под постом.			native_review_required
course_s_2	course_s_2_l6	course_s_2_l6_o4	course_s_2_l6_o4	replace	phrase	4	Записаться	สมัคร	samakn	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_s_2	course_s_2_l6	course_s_2_l6_o4__part_2	course_s_2_l6_o4	add	phrase	9	обсудить	คุยรายละเอียด	khuirailaiat	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_s_3	course_s_3_l1	course_s_3_l1_o4	course_s_3_l1_o4	replace	phrase	4	Серьёзно? Реально?	จริงเหรอ	chringero	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_s_3	course_s_3_l3	course_s_3_l3_o7	course_s_3_l3_o7	replace	phrase	7	Вот это жестоко	ใจร้ายจัง	jai-rai jang	Так можно отреагировать на жестокую шутку или поступок.			native_review_required
course_s_3	course_s_3_l3	course_s_3_l3_o7__part_2	course_s_3_l3_o7	add	phrase	10	Что ты чувствуешь?	รู้สึกยังไงครับ	rʉ́ʉ-sʉ̀k yang ngai khráp	Спроси о чувствах после личной истории.			native_review_required
course_s_3	course_s_3_l5	course_s_3_l5_o6	course_s_3_l5_o6	replace	phrase	6	Можно так сказать?	พูดแบบนี้ได้ไหมครับ	phûut bàep níi dâi mái khráp	Уточни, подходит ли эта идиома или разговорная формулировка.			native_review_required
course_s_3	course_s_3_l5	course_s_3_l5_o6__part_2	course_s_3_l5_o6	add	phrase	9	Это слово используют в обычной речи?	คำนี้ใช้ในชีวิตประจำวันไหมครับ	kham níi chái nai chii-wít bprà-jam-wan mái khráp	Уточни, звучит ли слово естественно вне учебника.			native_review_required
course_s_4	course_s_4_l2	course_s_4_l2_o4	course_s_4_l2_o4	replace	phrase	4	Во сколько мы медитируем?	เรานั่งสมาธิกี่โมงครับ	rao nâng sà-má-thíi gìi moong khráp	Уточни время общей медитации.			native_review_required
course_s_5	course_s_5_l1	course_s_5_l1_o6	course_s_5_l1_o6	replace	phrase	6	Как мило!	น่ารักจัง	nâa-rák jang	Живая реакция на милый жест, сообщение или поступок.			native_review_required
course_s_5	course_s_5_l1	course_s_5_l1_o6__part_2	course_s_5_l1_o6	add	phrase	10	Ты со мной флиртуешь?	กำลังจีบผมอยู่เหรอครับ	gam-lang jìip phǒm yùu rǒe khráp	Только для лёгкого личного разговора.			native_review_required
course_s_5	course_s_5_l2	course_s_5_l2_o3	course_s_5_l2_o3	replace	phrase	3	Спасибо, что заботишься обо мне.	ขอบคุณที่ดูแลนะครับ	khɔ̀ɔp-khun thîi duu-lae ná khráp	Так благодарят за заботу или помощь.			native_review_required
course_s_5	course_s_5_l2	course_s_5_l2_o3__part_2	course_s_5_l2_o3	add	phrase	9	Мне это интересно.	เรื่องนี้น่าสนใจครับ	rʉ̂ang níi nâa-sǒn-jai khráp	Скажи, что тема или предложение тебе интересно.			native_review_required
course_s_5	course_s_5_l3	course_s_5_l3_o5	course_s_5_l3_o5	replace	phrase	5	Ты намекаешь?	กำลังพูดเป็นนัยอยู่เหรอครับ	gam-lang phûut bpen-nai yùu rǒe khráp	Уточни, говорит ли человек намёками.			native_review_required
course_s_5	course_s_5_l3	course_s_5_l3_o5__part_2	course_s_5_l3_o5	add	phrase	9	Тебе это интересно?	คุณสนใจเรื่องนี้ไหมครับ	khun sǒn-jai rʉ̂ang níi mái khráp	Уточни интерес собеседника к теме.			native_review_required
course_s_5	course_s_5_l6	course_s_5_l6_o6	course_s_5_l6_o6	replace	phrase	6	Береги себя.	ดูแลตัวเองนะครับ	duu-lae dtua-eeng ná khráp	Так заканчивают разговор с тёплым пожеланием.			native_review_required
course_s_5	course_s_5_l6	course_s_5_l6_o6__part_2	course_s_5_l6_o6	add	phrase	9	Давай обозначим границы.	เรามาตกลงเรื่องขอบเขตกันนะครับ	rao maa dtok-long rʉ̂ang khɔ̀ɔp-khèet gan ná khráp	Спокойно обозначь границы в личном разговоре.			native_review_required
course_s_6	course_s_6_l5	course_s_6_l5_o4	course_s_6_l5_o4	replace	phrase	4	Давай поиграем.	มาเล่นกันเถอะครับ	maa lên gan thòe khráp	Предложи совместную игру.			native_review_required
course_s_6	course_s_6_l5	course_s_6_l5_o4__part_2	course_s_6_l5_o4	add	phrase	9	Давай поедим.	ไปกินข้าวกันเถอะครับ	bpai gin khâao gan thòe khráp	Предложи вместе поесть.			native_review_required
course_s_6	course_s_6_l5	course_s_6_l5_o6	course_s_6_l5_o6	replace	phrase	6	Мы сейчас на пляже.	ตอนนี้เราอยู่ที่ชายหาดครับ	dtaawn-níi rao yùu thîi chaai-hàat khráp	Назови место, когда объясняешь, где вы находитесь.			native_review_required
course_s_6	course_s_6_l5	course_s_6_l5_o6__part_2	course_s_6_l5_o6	add	phrase	10	Мы сейчас в кафе.	ตอนนี้เราอยู่ที่คาเฟ่ครับ	dtaawn-níi rao yùu thîi kaa-fɛɛ khráp	Назови место встречи.			native_review_required
course_long_1	course_long_1_l4	course_long_1_l4_o5	course_long_1_l4_o5	replace	phrase	5	Передай это, пожалуйста.	ช่วยเอาไปให้หน่อยครับ	chûai ao bpai hâi nòi khráp	Попроси передать предмет другому человеку.			native_review_required
course_long_1	course_long_1_l4	course_long_1_l4_o5__part_2	course_long_1_l4_o5	add	phrase	9	Я скоро вернусь.	เดี๋ยวผมกลับมาครับ	dĭao phǒm glàp maa khráp	Скажи, что ненадолго уходишь и вернёшься.			native_review_required
course_long_1	course_long_1_l5	course_long_1_l5_o5	course_long_1_l5_o5	replace	phrase	5	Наличные?	เงินสดไหมครับ	ngoenttmaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_1	course_long_1_l5	course_long_1_l5_o5__part_2	course_long_1_l5_o5	add	phrase	9	Картой?	บัตรได้ไหมครับ	batndaimaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_2	course_long_2_l1	course_long_2_l1_o6	course_long_2_l1_o6	replace	phrase	6	Мне нужна виза.	ผมต้องการวีซ่าครับ	phǒm dtông-gaan wii-sǎa khráp	Объясни, что тебе нужна виза.			native_review_required
course_long_2	course_long_2_l1	course_long_2_l1_o6__part_2	course_long_2_l1_o6	add	phrase	9	Вот мои документы.	นี่คือเอกสารของผมครับ	nîi khʉʉ èek-gà-sǎan khɔ̌ɔng phǒm khráp	Передай документы сотруднику.			native_review_required
course_long_2	course_long_2_l1	course_long_2_l1_o7	course_long_2_l1_o7	replace	phrase	7	Рабочая виза?	วีซ่าทำงานไหมครับ	wisathamnganmaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_2	course_long_2_l1	course_long_2_l1_o7__part_2	course_long_2_l1_o7	add	phrase	10	Пенсионная виза?	วีซ่าเกษียณไหมครับ	wisakesinmaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_2	course_long_2_l4	course_long_2_l4_o3	course_long_2_l4_o3	replace	phrase	3	Когда зачислится?	เงินจะเข้าบัญชีเมื่อไหร่ครับ	ngoenchakhaobanchimuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_3	course_long_3_l2	course_long_3_l2_o5	course_long_3_l2_o5	replace	phrase	5	Результаты когда?	ผลออกเมื่อไหร่ครับ	phonokmuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_4	course_long_4_l4	course_long_4_l4_o3	course_long_4_l4_o3	replace	phrase	3	Машину угнали.	รถของผมถูกขโมยครับ	rót khɔ̌ɔng phǒm thùuk khà-mooi khráp	Сообщи полиции о краже автомобиля.			native_review_required
course_long_4	course_long_4_l4	course_long_4_l4_o3__part_2	course_long_4_l4_o3	add	phrase	9	Произошло ДТП.	เกิดอุบัติเหตุครับ	gə̀ət ù-bàt-tì-hèet khráp	Сообщи о дорожно-транспортном происшествии.			native_review_required
course_long_4	course_long_4_l6	course_long_4_l6_o7	course_long_4_l6_o7	replace	phrase	7	Я потерял ключи от машины.	ผมทำกุญแจรถหายครับ	phǒm tham gun-jae rót hǎai khráp	Сообщи, что потерял ключи от автомобиля.			native_review_required
course_long_4	course_long_4_l6	course_long_4_l6_o7__part_2	course_long_4_l6_o7	add	phrase	9	Я потерял ключи от дома.	ผมทำกุญแจบ้านหายครับ	phǒm tham gun-jae bâan hǎai khráp	Сообщи, что потерял ключи от дома.			native_review_required
course_long_5	course_long_5_l5	course_long_5_l5_o4	course_long_5_l5_o4	replace	phrase	4	Когда начинается собрание?	ประชุมเริ่มกี่โมงครับ	bprà-chum rə̂əm gìi moong khráp	Спроси время начала собрания.			native_review_required
course_long_6	course_long_6_l2	course_long_6_l2_o4	course_long_6_l2_o4	replace	phrase	4	Следующая прививка когда?	ฉีดวัคซีนครั้งต่อไปเมื่อไหร่ครับ	chitwaksinkhrangtopaimuearaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_long_7	course_long_7_l3	course_long_7_l3_o4	course_long_7_l3_o4	replace	phrase	4	Я смотрю дорамы.	ผมดูละครเกาหลีครับ	phǒm duu lá-khɔɔn gào-lǐi khráp	Расскажи, что смотришь корейские дорамы.			native_review_required
course_long_7	course_long_7_l3	course_long_7_l3_o4__part_2	course_long_7_l3_o4	add	phrase	9	Я смотрю сериал.	ผมดูซีรีส์ครับ	phǒm duu sii-rîit khráp	Расскажи, что смотришь сериал.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_01	NEW_course_l_2_l1_01	add	phrase	10	В аэропорт	ไปสนามบิน	paisanambin	В аэропорт. Чётко и по делу.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_02	NEW_course_l_2_l1_02	add	phrase	11	В центр	เข้าเมือง	khaomueang	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_03	NEW_course_l_2_l1_03	add	phrase	12	По этому адресу	ไปตามที่อยู่นี้	paitamthiyuni	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_04	NEW_course_l_2_l1_04	add	phrase	13	Остановите здесь	จอดตรงนี้	chottrangani	Останови здесь. Палец + фраза.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_05	NEW_course_l_2_l1_05	add	phrase	14	Сколько стоит поездка?	ค่าโดยสารเท่าไหร่ครับ	khadoisanthaoraikhrap	Спроси цену услуги.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_06	NEW_course_l_2_l1_06	add	phrase	15	Картой можно?	จ่ายบัตรได้ไหมครับ	chaibatndaimaikhrap	Уточни способ оплаты.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_07	NEW_course_l_2_l1_07	add	phrase	16	Это не мой адрес	ไม่ใช่ที่อยู่ของผม	maichaithiyukhongphom chan	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_2	course_l_2_l1	NEW_course_l_2_l1_08	NEW_course_l_2_l1_08	add	phrase	17	Сдачи не надо	ไม่ต้องทอนครับ	mataingthonkhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_01	NEW_course_l_5_l1_01	add	phrase	9	Мне нужен врач	ต้องการพบหมอครับ	tongkanaphopmokhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_02	NEW_course_l_5_l1_02	add	phrase	10	У меня болит здесь	เจ็บตรงนี้ครับ	cheptranganikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_03	NEW_course_l_5_l1_03	add	phrase	11	Очень больно	เจ็บมากครับ	chepmakkhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_04	NEW_course_l_5_l1_04	add	phrase	12	Позовите медсестру, пожалуйста	ช่วยเรียกพยาบาลหน่อยครับ	chuairiakphayabannoikhrap	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_05	NEW_course_l_5_l1_05	add	phrase	13	Что делать?	ต้องทำอย่างไรครับ	tongthamyangraikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_06	NEW_course_l_5_l1_06	add	phrase	14	Я не понимаю	ไม่เข้าใจครับ	maikhaochaikhrap	Честно обозначь, что не понял.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_07	NEW_course_l_5_l1_07	add	phrase	15	У меня аллергия	ผมแพ้ครับ	phom chanphaekhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_5	course_l_5_l1	NEW_course_l_5_l1_08	NEW_course_l_5_l1_08	add	phrase	16	Мне лучше	ดีขึ้นแล้วครับ	dikhuenlaeokhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_8	course_l_8_l1	NEW_course_l_8_l1_01	NEW_course_l_8_l1_01	add	phrase	10	Есть такой?	มีอันนี้ไหมครับ	miannimaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_8	course_l_8_l1	NEW_course_l_8_l1_02	NEW_course_l_8_l1_02	add	phrase	11	Этого нет?	ไม่มีอันนี้เหรอครับ	maimiannierokhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_8	course_l_8_l1	NEW_course_l_8_l1_03	NEW_course_l_8_l1_03	add	phrase	12	Есть другой?	มีอย่างอื่นไหมครับ	miyanguenmaikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_8	course_l_8_l1	NEW_course_l_8_l1_04	NEW_course_l_8_l1_04	add	phrase	13	Сколько стоит в магазине?	ราคาที่ร้านเท่าไหร่ครับ	rakhathiranthaoraikhrap	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_8	course_l_8_l1	NEW_course_l_8_l1_05	NEW_course_l_8_l1_05	add	phrase	14	На кассе другая цена	ราคาที่แคชเชียร์ไม่ตรงครับ	rakhathikhaetchiamaitrongkhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
course_l_8	course_l_8_l1	NEW_course_l_8_l1_06	NEW_course_l_8_l1_06	add	phrase	15	Это не тот товар	ไม่ใช่อันนี้ครับ	maichaiannikhráp	Используй как короткую реплику; детали и объяснение держи отдельно.			native_review_required
