LESSONS 7

LESSON course_l_1_l1 | Вежливо на посту | Приветствие и документы без стресса
  STEP 1 | tip | На посту улыбка и спокойный тон важнее идеального произношения. | None | None
  STEP 5 | phrase | Десять дней | สิบวัน | сип→ ван→
  STEP 6 | phrase | Куда еду | ไปพัทยา | пай→ пхат→ та→ я→
  STEP 7 | phrase | Откуда | มาจากไหน | ма→ джак→ най↗
  STEP 8 | phrase | Один человек | คนเดียว | кон→ диау→
  STEP 9 | phrase | Всё понятно? | เข้าใจไหม | кхао→ джай→ май↗
  STEP 10 | phrase | Не понял, повторите медленнее | ไม่เข้าใจ พูดช้าหน่อยครับ | май↘ кхао→ джай→ пхут↘ чаа́↘ ной↘ кхрап↗
  STEP 11 | phrase | Покажите, где подписать? | เซ็นตรงไหนครับ | сен→ тронг→ най↗ кхрап↗

LESSON course_l_1_l4 | Всё ок | Май пэн рай и улыбка
  STEP 1 | tip | Май пэн рай на посту = «всё ок, без драмы». Не «мне всё равно». | None | None
  STEP 2 | phrase | Всё нормально | ไม่เป็นไร | май→ пэн→ рай→
  STEP 3 | phrase | Проверка пройдена | ตรวจเสร็จแล้ว | туат→ сет→ леу↘
  STEP 4 | phrase | Нет проблем | ไม่มีปัญหา | май→ ми→ пан→ ха↘
  STEP 5 | phrase | Можно идти? | ไปได้ไหม | пай→ дай→ май↗
  STEP 6 | phrase | Да можно | ได้ครับ | дай→ кхрап→
  STEP 7 | phrase | Спасибо за проверку | ขอบคุณที่ตรวจ | кхоп→ кхун→ ти→ туат→
  STEP 8 | casual | Сабай | สบาย | са→ бай→
  STEP 9 | phrase | Хорошей дороги | ขอให้เดินทางปลอดภัย | кхо→ хай→ дён→ тан→ плонг→ сай→

LESSON course_l_1_l5 | Спасибо и до свидания | Уйти с поста с улыбкой
  STEP 1 | tip | Кхрап в конце — вежливо. Ситуация: завершение проверки на посту. | None | None
  STEP 2 | phrase | Спасибо за проверку | ขอบคุณที่ตรวจ | кхоп→ кхун→ ти→ туат→
  STEP 3 | phrase | Удачной поездки | ขอให้เดินทางดี | кхо→ хай→ дён→ тан→ ди→
  STEP 4 | phrase | До свидания | ลาก่อนครับ | ла→ кон→ кхрап→
  STEP 5 | phrase | Хорошего дня | ขอให้ดี | кхо→ хай→ ди→
  STEP 6 | phrase | До следующей проверки | แล้วเจอกัน | лэу→ джё→ кан→
  STEP 7 | phrase | Всё чисто | เรียบร้อยครับ | риап→ рой→ кхрап→
  STEP 8 | phrase | Счастливого пути | เดินทางปลอดภัย | дён→ тан→ плонг→ сай→
  STEP 9 | phrase | Проверка ок | ตรวจเสร็จโอเค | туат→ сет→ о→ кэ→

LESSON course_l_1_l6 | Мини-сценка поста | Собрать всё в один диалог
  STEP 1 | tip | 555 — в чате тайцы пишут вместо ха-ха. На посту лучше улыбка. | None | None
  STEP 2 | phrase | Подъезжаю на проверку | มาตรวจครับ | ма→ туат→ кхрап→
  STEP 3 | phrase | Вот документы | นี่ครับ | ни→ кхрап↘
  STEP 4 | phrase | Турист десять дней | นักท่องเที่ยวสิบวัน | нак→ тонг→ тиау→ сип→ ван→
  STEP 5 | phrase | Всё нормально? | ไม่เป็นไรไหม | май→ пэн→ рай→ май↗
  STEP 6 | phrase | Можно идти? | ไปได้ไหมครับ | пай→ дай→ май→ кхрап↗
  STEP 7 | phrase | Спасибо поехал | ขอบคุณลาก่อน | кхоп→ кхун→ ла→ кон→
  STEP 8 | phrase | Проверка ок | โอเคครับ | о→ кэ→ кхрап→
  STEP 9 | phrase | Удачной дороги | เดินทางปลอดภัย | дён→ тан→ плонг→ сай→
  STEP 10 | phrase | Можно позвонить хозяину? | โทรหาเจ้าของได้ไหมครับ | тхоо→ ха̌а→ чао↘ кхонг̌→ дай→ май↗ кхрап↗
  STEP 11 | phrase | Я понял, спасибо | เข้าใจแล้ว ขอบคุณครับ | кхао→ джай→ леу↘ кхоп→ кхун→ кхрап↗

LESSON course_l_1_l7 | Полный диалог на посту | Паспорт, виза, мнемоника документов
  STEP 1 | tip | Виза = виза, как в русском. Покажи и скажи ви-са. | None | None
  STEP 2 | phrase | Паспорт пожалуйста | พาสปอร์ตครับ | пас→ пот→ кхрап→
  STEP 3 | phrase | Вот паспорт | นี่พาสปอร์ต | ни→ пас→ порт→
  STEP 4 | phrase | Вот виза | นี่วีซ่า | ни→ ви→ са↘
  STEP 5 | phrase | Документы в порядке | เอกสารครบครับ | эк→ ка→ сан→ кхоп→ кхрап→
  STEP 6 | phrase | Проверьте пожалуйста | ตรวจได้ครับ | туат→ дай→ кхрап→
  STEP 7 | phrase | Можно идти? | ไปได้ไหม | пай→ дай→ май↗
  STEP 8 | phrase | Спасибо за проверку | ขอบคุณที่ตรวจ | кхоп→ кхун→ ти→ туат→
  STEP 9 | phrase | До свидания | ลาก่อนครับ | ла→ кон→ кхрап→

TOTAL STEPS 67
